duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,label
108,tcp,telnet,REJ,4319,9543,2,5,281,0.2867047294459052,0.7859769744504906,220,0.2921190343756469,normal
344,tcp,smtp,RSTOS0,2458,47529,1,74,32,0.4026901484044082,0.849974436149998,103,0.4772356761420089,normal
398,tcp,pop3,SF,1777,300,1,60,471,0.29799418518985255,0.4507613730941342,5,0.1375168172928587,normal
435,icmp,smtp,REJ,9152,49994,0,279,65,0.7286105227122195,0.07821187658297879,91,0.8614410450190384,normal
493,tcp,telnet,RSTO,2768,35453,0,171,95,0.9988332376332111,0.8648241603271857,4,0.3826672427844815,normal
171,tcp,http,RSTOS0,8594,443,0,142,479,0.4035198194639964,0.26706144946217936,20,0.08678941332769852,normal
350,tcp,imap,S0,3034,13179,0,55,384,0.6603660251134209,0.48819197575698914,381,0.9216868962288085,normal
44,icmp,irc,S0,111,4331,1,183,383,0.012046384933596888,0.11605944298643556,215,0.2630274430059466,normal
425,icmp,smtp,SF,8998,26530,2,207,106,0.6284663368583336,0.7167168086006761,214,0.38103252418123146,normal
286,tcp,ssh,RSTO,6069,13927,2,436,230,0.4987118476843829,0.2508031470055788,182,0.010268928489568951,normal
245,icmp,ftp,S0,201,48740,1,226,457,0.2247816350900591,0.8630008727773163,136,0.8824385999811706,normal
419,icmp,pop3,RSTO,3174,9518,1,265,68,0.0854298687641476,0.5093711653202315,285,0.4086673919905993,normal
484,tcp,ssh,RSTOS0,1190,49743,2,226,27,0.13555664207119444,0.4950306554718692,462,0.8040429237513461,normal
384,tcp,pop3,REJ,8000,25412,2,155,353,0.9828883306396111,0.9937854932786826,111,0.7234991385869886,normal
86,icmp,irc,RSTO,3346,39914,0,231,154,0.1717237339617187,0.8272109757617002,213,0.2297200840428768,normal
73,udp,ftp,S0,6790,44765,1,318,412,0.24871329739932568,0.6692465110881046,26,0.6741184094095828,normal
144,tcp,ftp,SF,1641,19115,1,459,91,0.394866266225365,0.28595946988698506,203,0.8197109900457807,normal
