UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 08:56 ?        00:00:00 /sbin/init splash
root           2       0  0 08:56 ?        00:00:00 [kthreadd]
root           3       2  0 08:56 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 08:56 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 08:56 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 08:56 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 08:56 ?        00:00:00 [kworker/R-netns]
root           8       2  0 08:56 ?        00:00:00 [kworker/0:0-hv_vmbus_con]
root           9       2  0 08:56 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 08:56 ?        00:00:00 [kworker/0:1-events]
root          11       2  0 08:56 ?        00:00:00 [kworker/u28:0-loop16]
root          12       2  0 08:56 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 08:56 ?        00:00:00 [rcu_tasks_rude_kthread]
root          14       2  0 08:56 ?        00:00:00 [rcu_tasks_trace_kthread]
root          15       2  0 08:56 ?        00:00:00 [ksoftirqd/0]
root          16       2  0 08:56 ?        00:00:00 [rcu_sched]
root          17       2  0 08:56 ?        00:00:00 [migration/0]
root          18       2  0 08:56 ?        00:00:00 [idle_inject/0]
root          19       2  0 08:56 ?        00:00:00 [cpuhp/0]
root          20       2  0 08:56 ?        00:00:00 [cpuhp/2]
root          21       2  0 08:56 ?        00:00:00 [idle_inject/2]
root          22       2  0 08:56 ?        00:00:00 [migration/2]
root          23       2  0 08:56 ?        00:00:00 [ksoftirqd/2]
root          24       2  0 08:56 ?        00:00:00 [kworker/2:0-rcu_gp]
root          25       2  0 08:56 ?        00:00:00 [kworker/2:0H-events_highpri]
root          26       2  0 08:56 ?        00:00:00 [cpuhp/4]
root          27       2  0 08:56 ?        00:00:00 [idle_inject/4]
root          28       2  0 08:56 ?        00:00:00 [migration/4]
root          29       2  0 08:56 ?        00:00:00 [ksoftirqd/4]
root          30       2  0 08:56 ?        00:00:00 [kworker/4:0-cgroup_destroy]
root          31       2  0 08:56 ?        00:00:00 [kworker/4:0H-events_highpri]
root          32       2  0 08:56 ?        00:00:00 [cpuhp/6]
root          33       2  0 08:56 ?        00:00:00 [idle_inject/6]
root          34       2  0 08:56 ?        00:00:00 [migration/6]
root          35       2  0 08:56 ?        00:00:00 [ksoftirqd/6]
root          36       2  0 08:56 ?        00:00:00 [kworker/6:0-events]
root          37       2  0 08:56 ?        00:00:00 [kworker/6:0H-events_highpri]
root          38       2  0 08:56 ?        00:00:00 [cpuhp/8]
root          39       2  0 08:56 ?        00:00:00 [idle_inject/8]
root          40       2  0 08:56 ?        00:00:00 [migration/8]
root          41       2  0 08:56 ?        00:00:00 [ksoftirqd/8]
root          42       2  0 08:56 ?        00:00:00 [kworker/8:0-slub_flushwq]
root          43       2  0 08:56 ?        00:00:00 [kworker/8:0H-events_highpri]
root          44       2  0 08:56 ?        00:00:00 [cpuhp/10]
root          45       2  0 08:56 ?        00:00:00 [idle_inject/10]
root          46       2  0 08:56 ?        00:00:00 [migration/10]
root          47       2  0 08:56 ?        00:00:00 [ksoftirqd/10]
root          48       2  0 08:56 ?        00:00:00 [kworker/10:0-slub_flushwq]
root          49       2  0 08:56 ?        00:00:00 [kworker/10:0H-events_highpri]
root          50       2  0 08:56 ?        00:00:00 [cpuhp/12]
root          51       2  0 08:56 ?        00:00:00 [idle_inject/12]
